genes	logFC	logCPM	LR	PValue	FDR
YCR021C	2.85756907167281	4.77936836704585	158.14656618075	2.87485291178235e-36	1.08063578086352e-32
YER011W	3.20622294213422	2.41660011144531	157.667952528287	3.65759275973436e-36	1.08063578086352e-32
YLL044W	3.27834105582563	1.37588072784141	145.743923615365	1.47680635422644e-33	2.90881624904135e-30
YLR302C	3.25124623560519	1.54525731819628	141.575280336185	1.20434140716144e-32	1.77911334372923e-29
YDL228C	2.77183774934792	2.49145563368544	129.929256908295	4.24645357358592e-30	5.01845883326384e-27
YDR536W	2.65648485366851	2.72462348155586	128.750238597427	7.69124986969554e-30	7.57459924667182e-27
YJL116C	2.47838790939409	5.21360700516099	124.314230677714	7.19054040376981e-29	6.0698433208394e-26
YJR047C	2.30227456957089	2.43125033344081	95.8662979219192	1.229100096657e-22	9.07844058893278e-20
YGL123C-A	2.24009795576631	3.13052908776773	94.7664716156125	2.14223499980499e-22	1.40649629042752e-19
YEL034C-A	2.27843942247121	2.64256683808183	94.439734861694	2.5266901903343e-22	1.49302123346854e-19
YPR044C	2.56591296177003	0.963236824517483	91.7954945350312	9.61130402915321e-22	5.16301777347876e-19
YBR072W	2.05428010616296	5.11793661682913	88.6517095443277	4.70819575332718e-21	2.31839405886753e-18
YLR076C	2.27591646196709	2.05703251930019	87.9375450492124	6.75541520285478e-21	3.07059603335915e-18
YDR380W	2.24182588767535	1.8740457378131	84.6241543471459	3.60830023190447e-20	1.52296043359454e-17
YOR010C	2.10638506907699	2.88643871519072	84.3212353127414	4.20573551804097e-20	1.65677941174027e-17
YFL031C-A	2.73758991155244	0.174618807988136	79.9013802001263	3.93571543856778e-19	1.45350890790606e-16
YOR338W	2.0519546607741	2.17395077470891	76.5036647153527	2.19804708365615e-18	7.64015306901424e-16
YMR118C	2.35441148133946	0.48218421524862	71.9129183316643	2.24906727402886e-17	7.3831880679092e-15
YHR126C	3.17917484064966	-0.703694834307673	70.6484729252322	4.26898023056845e-17	1.32765285170679e-14
YGR043C	1.8177674151648	3.90750757150276	69.1766164094723	9.00291487627939e-17	2.65991120019675e-14
YPL250W-A	1.99169223507221	1.85741278398168	68.6259364538122	1.19028298481866e-16	3.34922959871116e-14
YER103W	1.74817747718937	5.28100363592042	66.1145711039685	4.2545885737052e-16	1.14274381281927e-13
YLR062C	2.28010308558553	0.532833764040555	65.6943989844349	5.26552970376047e-16	1.35278326171829e-13
Q0020	-1.71644293618269	7.04335258919507	64.8496195929448	8.08376837889799e-16	1.99029113962118e-13
YKL217W	1.79878354582433	3.31424609311813	64.7082755544433	8.68493396379365e-16	2.05277099168227e-13
YJR150C	2.89086609300513	-0.629299004259602	63.8846915387041	1.31918759160156e-15	2.99810749183602e-13
YGR160W	1.95459935989247	1.49427787425292	63.5621167574655	1.5538888100718e-15	3.40071443656085e-13
YBR056W-A	1.74908193741423	3.38022396703967	62.324298643322	2.91308513980442e-15	6.14765003253725e-13
YCR013C	1.79738806447575	2.90671973168806	61.7590535303097	3.88162707485091e-15	7.90914978803242e-13
YEL053W-A	2.19609923011856	0.302906777331601	60.3669326093269	7.87244261098889e-15	1.55060877961111e-12
YHR137W	1.79887883874802	2.33233442938667	59.3022502607729	1.3522182158194e-14	2.57750239912156e-12
YGR142W	1.64761718817685	5.02383441190205	59.0783951905209	1.51513690339552e-14	2.79779498817629e-12
YLR154W-F	-1.58754502655473	8.55985265378852	56.1622666469113	6.67299735012649e-14	1.19487094975447e-11
YLR154W-C	-1.55282196404199	9.20405490009741	53.8868188049252	2.12377717173491e-13	3.69099979640635e-11
YMR081C	1.9680584575246	0.602737490085183	53.7529695605048	2.2735031574497e-13	3.8383229021058e-11
YAL004W	1.98115156382991	0.562844323117599	52.9118228391976	3.48863311218019e-13	5.72620362774242e-11
YLR339C	1.65458676868984	2.6230661335242	52.6283660474085	4.03025994549422e-13	6.43643405889875e-11
YAL037C-B	1.55252752825681	4.07681731883322	50.7142636648877	1.06840280007724e-12	1.6613663541201e-10
YLR327C	1.55927233369111	3.3215819488495	50.017643276403	1.52369753256064e-12	2.30859710766688e-10
YPL223C	1.5778619523806	2.90617548649326	49.9476500579315	1.57903071666243e-12	2.33262312618957e-10
YLR154W-B	-1.48663141476182	8.61588886490906	49.5325193989323	1.95110620602311e-12	2.8119723344855e-10
Q0158	-1.48649406524808	7.97954815527518	49.4772496085594	2.00685547388409e-12	2.82345452266217e-10
YMR244W	1.6735612771403	1.64231236917591	48.6783234919189	3.01581308134142e-12	4.14428825526661e-10
YGL102C	1.53004288150091	3.08703558780952	47.0691581523453	6.85255530692513e-12	9.20267029741378e-10
YDL039C	1.46269341534076	5.73053163541026	47.021109247246	7.02262468648652e-12	9.22148650498863e-10
YDL037C	1.47346490751835	4.72257372612854	46.7542715679468	8.04693473602508e-12	1.03368124685157e-09
YJL052W	1.42402340905916	8.54179104563212	45.5842578370484	1.46211957269785e-11	1.83822650107906e-09
YGR066C	2.18750037392594	-0.571641842290603	44.4946530035296	2.55052842275973e-11	3.13980676043485e-09
ETS2-1	2.14352428007371	-0.541922920435743	44.4537611056981	2.60436157200927e-11	3.14064745489852e-09
YKL153W	1.5254748202732	2.4158945122545	44.335531007986	2.76649183640316e-11	3.26944005226126e-09
