genes	logFC	logCPM	LR	PValue	FDR
YNL160W	4.09067737764488	6.67604995398659	212.89054972245	3.21550953695792e-48	1.86821104097255e-44
YGR088W	3.79897458246129	6.34595549009813	187.162190881941	1.32369348270102e-42	3.84532956724646e-39
YIL101C	4.31804988640286	4.30757863587595	186.119437970444	2.23572754241831e-42	4.32985900715012e-39
YDR171W	3.97822839987968	4.8498244356699	178.895860406189	8.44311681148245e-41	1.22636271686783e-37
YFR053C	3.63839013247871	6.8138800393825	178.155042764467	1.22535116302696e-40	1.42385805143733e-37
YHR087W	4.34382056921923	3.99031792659371	177.673164720227	1.56127987943613e-40	1.51183934992066e-37
YOL084W	3.61854743767908	6.36538574652446	173.526461355993	1.25602188455688e-39	1.04249816418221e-36
YPR160W	3.49189095234113	6.01809359450255	161.03913206636	6.70833819456469e-37	4.87193061380261e-34
YML100W	3.30765896427846	8.25891181002564	156.935804878218	5.28661185512098e-36	3.41280165313921e-33
YLL044W	-6.0677516804246	3.38503002091604	154.704330780828	1.62482637435166e-35	9.44024123498314e-33
YLR302C	-5.24613117198725	3.57416264561163	147.349060341119	6.58302478093574e-34	3.4770339979306e-31
YGR248W	4.13124624648684	3.31230549374627	145.397982724193	1.75773274133202e-33	8.51035602261584e-31
YFL014W	2.99680249410775	6.1705865341149	125.748736373763	3.48987227411831e-29	1.55970445481749e-26
YAL061W	3.20183873519479	4.47824662713861	123.167881142175	1.28135239152446e-28	5.31761242482651e-26
YDL228C	-3.69041914247887	4.23224338883996	121.194689438885	3.46412430321081e-28	1.34177081344365e-25
YOL052C-A	3.67589338063684	3.07068306178978	117.563743570321	2.16043961470147e-27	7.84509635088471e-25
YGL123C-A	-3.2541754754325	5.08261836169286	117.24438710743	2.53787671562007e-27	8.52457220972147e-25
YCL040W	2.79389224516523	8.1800604186204	117.165387809948	2.64100343846793e-27	8.52457220972147e-25
YAL037C-B	-2.95317424949802	6.22643218648324	114.408787471331	1.06033090450696e-26	3.24238029220287e-24
YML128C	2.8042624594811	5.94658553085213	111.151923225865	5.48056221598838e-26	1.59210332374462e-23
YLR149C	2.95654160360265	4.67732982663156	110.903110655418	6.21344283460776e-26	1.71905251757481e-23
YDR342C	2.96959251557267	4.465278992629	108.442589959285	2.1498811802429e-25	5.67764075327784e-23
YGL156W	2.80042371465774	5.3183896827974	106.864823968961	4.76593360463675e-25	1.20391627143215e-22
YKL153W	-3.04874067799065	4.79738932695966	102.542657383113	4.22178387629057e-24	1.02202351338534e-21
YNL194C	3.68286650747484	2.46844889416573	99.7203757840409	1.75506277309434e-23	4.07876588467124e-21
YMR105C	2.5732651826038	6.25878700664944	96.8976019902883	7.30070454491298e-23	1.6314266694594e-20
YEL039C	3.89025336770987	2.0946369190328	95.3010503607283	1.63526361156163e-22	3.51884503080485e-20
YPL017C	2.96680438240798	3.54285220331121	94.6084939314168	2.3202059854486e-22	4.81442741980585e-20
YGL037C	2.49779332678198	6.33639224465682	92.3106365874482	7.40850404794693e-22	1.48425546615764e-19
YOR173W	2.95294887492989	3.39881644864574	91.621988057078	1.04920678146178e-21	2.03196380009766e-19
YJL116C	3.281525792907	2.69330811506553	91.3829532428537	1.18391992401206e-21	2.21889508339034e-19
YBR214W	2.54328880954788	5.36638452811175	90.624334786509	1.73710733603463e-21	3.15393550698788e-19
YER150W	2.7546577126275	3.95242931872732	89.6305129478967	2.87062453095928e-21	5.05403894693134e-19
YBR054W	2.92040391849156	3.34870582081754	88.4920937853391	5.10384621127471e-21	8.72157249632531e-19
YBR072W	2.71175485894573	3.88185057750683	86.7001340012063	1.26288256422834e-20	2.09638505661904e-18
YMR250W	2.50366082062221	5.09368860072667	86.4064545793873	1.46505968398039e-20	2.36444354553502e-18
YMR096W	2.356206712956	6.37557143602929	83.4186818047267	6.63915967306133e-20	1.04252750541855e-17
YHL021C	2.32293839698673	6.30273818391819	80.9884486995689	2.27040932060251e-19	3.43281368543343e-17
YLR327C	3.26825398160715	2.29637595242945	80.9591696793277	2.30429834306203e-19	3.43281368543343e-17
YFR015C	2.45179229174555	4.65793808451748	80.3249079594663	3.17639750839785e-19	4.61371738094788e-17
YDL204W	2.56991759657817	3.93359304257139	79.2819683437476	5.38489420202962e-19	7.63078910092491e-17
YHL024W	2.47794767396956	4.27507678233864	78.6961752613283	7.24356755970851e-19	1.00202684575968e-16
YCR013C	-2.64326697175442	4.57575649182768	77.5162693088547	1.31633715517453e-18	1.77858578408466e-16
YAL005C	2.2052602048174	9.16566903376864	77.1673207678909	1.57071082367185e-18	2.07405224671215e-16
YLR076C	-2.90661406787234	3.65972815549309	76.0286798018774	2.79574597514702e-18	3.60961869235649e-16
YGL102C	-2.50893252557406	4.878436439794	75.7725656537089	3.18292768075233e-18	4.02017604895023e-16
YPL240C	2.20196706171424	7.38508091254649	75.6165821527829	3.44456609443144e-18	4.25807000183972e-16
YPL250W-A	-2.80850182524733	3.72445064764469	74.8470617589403	5.08627021079422e-18	6.15650623431551e-16
YMR095C	2.59868786540066	3.28714504153558	73.0280429816406	1.27820720324684e-17	1.51558854099268e-15
YDL124W	2.16224039042803	7.27945699531363	72.952788277761	1.3278858508941e-17	1.54300335873894e-15
