genes	logFC	logCPM	LR	PValue	FDR
YNL145W	-9.29507763872887	7.19531702675817	616.38560490497	4.56960438919444e-136	2.62660860290896e-132
YFL026W	-7.21637062424901	8.93610892020914	559.043737538679	1.35718353292172e-123	3.90054547361703e-120
YIL015W	-7.36337472007991	6.87295062531279	503.256937680462	1.85922070362624e-111	3.56226686814788e-108
YDR461W	-8.24593743324493	5.46737705227169	448.937913628759	1.22816173769852e-99	1.76486841707278e-96
YDL227C	-7.93888841156682	5.16237712533048	416.369891714664	1.50518659423682e-92	1.73036250873465e-89
YCR021C	6.04428228244684	6.28115103943012	389.694414511421	9.64725276089299e-87	9.24206814493548e-84
YJL157C	-6.10147488029198	5.88579501914309	379.409281036848	1.67328648858187e-84	1.37400724805265e-81
YKL209C	-5.43034847349021	7.87230346006296	375.029231930568	1.50381392821402e-83	1.08049030742178e-80
YDL042C	-11.501041989114	3.7020034129627	319.655937553701	1.72125658306538e-71	1.09930920438442e-68
RME2	-5.95808746743547	4.81316643910714	319.221028534755	2.14081296736705e-71	1.23053929364258e-68
YHR005C	-5.57086650797869	4.95409465937431	306.182479255914	1.48204802718664e-68	7.74437460024436e-66
YGL032C	-6.97233285849332	4.01995922992509	303.369915700651	6.075662853316e-68	2.91024250673836e-65
YBR054W	5.02084299270893	5.40045915670672	287.39785539257	1.83463107101916e-64	8.11189184324472e-62
YDR261C-D	-4.70489335905618	6.25394028441919	285.700988264277	4.29829112787423e-64	1.76475552878722e-61
YJR027W	-4.42393863310506	8.17109854845011	280.124886909241	7.05311781936902e-63	2.70275474838221e-60
YOR212W	-4.67378784924879	5.69827234266591	271.551203119738	5.20996510742073e-61	1.8716799648409e-58
YIL169C	4.4018469220584	6.83955774586937	267.170327153309	4.69500379682564e-60	1.58746363671493e-57
YDR365W-B	-4.35321138988738	7.10069009528789	266.033305485055	8.30723222402211e-60	2.65277615687106e-57
YBL016W	-5.37359194037567	4.12353581229433	255.215608903566	1.89424348800767e-57	5.73058503635164e-55
YLR256W-A	-4.16333027061572	7.04177351893791	248.154547624848	6.55799059503903e-56	1.88476649701422e-53
YLR227W-B	-4.17573211407909	6.83385660243517	247.415900357191	9.50185063610683e-56	2.60079225982581e-53
YJR029W	-4.1322203962294	7.29549259446515	247.247245282022	1.03413701242606e-55	2.70191797610227e-53
YGR052W	4.14023273105014	6.11802346337898	235.488471974075	3.78842089195021e-53	9.46775795083904e-51
YPL014W	3.98949243911645	6.94963664408586	231.392400505684	2.96269642107133e-52	7.09565792846583e-50
YOL103W-B	-4.04579169236719	5.87345083792007	224.59978376077	8.97634343467906e-51	2.06384088250141e-48
YPR158C-D	-3.81401286132391	8.55011423978381	222.834064173158	2.17881061738134e-50	4.81684747257997e-48
YGR027W-B	-3.89508902331255	6.66790328581694	220.907531595052	5.73362942118391e-50	1.22062599677649e-47
YML039W	-3.89615544746554	6.56640382654926	220.096508428505	8.61653512226901e-50	1.76885156724294e-47
YML045W	-3.89247793653435	6.56720454415731	219.781742864235	1.00923230277702e-49	2.00036802633183e-47
YDL048C	3.77664634440477	6.76459928087983	210.834714668906	9.03142760747682e-48	1.73042152959256e-45
YPR137C-B	-3.72520389990517	7.37336253619168	210.357383354814	1.14787658331018e-47	2.12838535511836e-45
YGR138C	3.68878319942813	7.97260538173621	209.307105385505	1.94552552305395e-47	3.49465022078566e-45
YPR122W	-3.86020236094035	5.53100101787208	204.395449305363	2.29454815838391e-46	3.99668570133052e-44
YOR142W-B	-3.73708579402539	5.49101945256787	194.079073918762	4.09266009189997e-44	6.91900300242383e-42
YPR157W	3.65505092987654	5.90968450471892	192.499650105529	9.05169018692291e-44	1.48654614841237e-41
YPL257W-B	-3.57849101905371	6.44695551070269	191.546545299171	1.46137147543857e-43	2.33332312245026e-41
YAR009C	-3.68226418532134	5.26000246059111	186.275772289705	2.06676404948259e-42	3.21074588011511e-40
YCL019W	-3.5378196917181	6.16428009232269	185.734132162827	2.71351521075189e-42	4.10454879773733e-40
YPR158W-B	-3.456283665805	6.99092565685669	184.434603385145	5.21470757017441e-42	7.68567669573398e-40
YCL027W	-4.70694346539224	3.21266832599709	181.322014477257	2.49331201120403e-41	3.58288936010019e-39
YOL104C	-4.61703768306019	3.26847589353119	180.378458781149	4.00670973277019e-41	5.61721159608855e-39
YDR103W	-3.60321374957215	5.24064115660093	179.943709062053	4.98552528238901e-41	6.82304745789811e-39
YDR316W-B	-3.63674048106474	5.06361352935341	179.605630430489	5.90918659378442e-41	7.89907082350532e-39
YHR214C-B	-3.3699321355576	6.14266358899846	171.584021537264	3.33587326441925e-39	4.35786352815496e-37
YOL155C	3.23219428547927	9.95360576006206	170.637010315784	5.37079489697777e-39	6.86029534840627e-37
YCL074W	9.80041514457803	2.04853221206838	170.294653167334	6.37986685818355e-39	7.97205971757371e-37
YMR050C	-3.34863268585535	5.94141186407682	168.145512861458	1.88025908518306e-38	2.29951685566644e-36
YLR035C-A	-3.62567674536952	4.47173935712213	167.338418062198	2.82168685274638e-38	3.37897000616379e-36
YDR098C-B	-3.54912787785765	4.71521554420054	167.020603064912	3.3107735220104e-38	3.88374004173791e-36
YLR157C-B	-3.72479884466968	4.14127027926889	165.855880576451	5.94768007572938e-38	6.8374530150585e-36
