genes	logFC	logCPM	LR	PValue	FDR
YDR110W	-11.1075064199333	3.55128212141245	342.938380012213	1.46201453083747e-76	8.83202978078917e-73
YLR154W-A	2.6992671029857	10.3139100500936	91.9786748940219	8.76155640909609e-22	2.64642811336747e-18
YLR154W-F	2.67292728682866	9.38411266833879	90.2758631048115	2.07164510491083e-21	4.17160269292211e-18
YLR154W-B	2.62900340157249	9.4298944044423	87.650716833487	7.8096239839339e-21	1.17944846217362e-17
YLR154W-C	2.5686691091018	10.028445678003	84.1607238505108	4.56143029242206e-20	5.51112007930433e-17
YLR162W-A	2.22487212008866	2.52515486981175	53.0600437556016	3.23506579176869e-13	3.25717207467911e-10
YLR154W-E	1.75756831673027	7.368576033114	41.4542952517418	1.20659158422633e-10	1.04128853718732e-07
YER153C	1.88062731327666	2.54515960066449	38.4379932505174	5.65212499095334e-10	4.26806088379364e-07
YPR157W	1.6191259404447	4.09552943076278	33.5752128779557	6.85608749169614e-09	4.60195828192627e-06
YAR035W	1.5978117183342	3.47441973799264	31.1490930930421	2.38950973382602e-08	1.4435028302043e-05
YLR162W	2.11595035273363	0.148795777869927	27.7068069868603	1.41165110277162e-07	7.75253119258485e-05
YER011W	1.48352992363596	3.15651458790143	27.4587249978668	1.60483215523184e-07	8.07899254146296e-05
YDL048C	1.38713325899021	4.71191356724257	25.6178338476831	4.16175234784761e-07	0.000193393430256518
YFR018C	1.38251580896361	5.04051371615783	25.444198863662	4.55364866195497e-07	0.000196489939763357
YAL020C	1.44178080968222	3.17322109769807	25.240870916191	5.05984993055155e-07	0.000203777022869746
YOL110W	1.40104785244583	3.3534506363193	24.1991069215447	8.68725553158249e-07	0.000327998191664311
SCR1	1.25664228352689	15.164698577897	21.9759107425926	2.76094124235003e-06	0.000981108590884502
YOR083W	1.37224437657076	2.6043784558618	21.7421011327396	3.11871282715975e-06	0.00104667467715956
YLR438W	1.25284611988221	4.43058972775163	20.637856831974	5.54879987776415e-06	0.00176422631903017
YHR041C	1.21261844917596	5.2157524419109	19.8092720679034	8.55665920824172e-06	0.00251556513192398
YIL154C	1.26142572536966	3.35411646437079	19.7372600181938	8.88520195224128e-06	0.00251556513192398
YER018C	1.3126106173176	2.46929543766272	19.6218347718363	9.43843837574193e-06	0.00251556513192398
YER088C-A	1.30902401146759	2.54036885578557	19.5938793460243	9.57755305979995e-06	0.00251556513192398
YOR084W	1.17984311102281	4.89687143754639	18.6379013489383	1.58047034285195e-05	0.00397817555882027
YPR192W	1.25313643321801	2.75019090011771	18.3061349834327	1.88100430894718e-05	0.00454525881213996
YGR138C	1.12918526686404	6.38961752077998	17.6424618012368	2.66569714151554e-05	0.00605626778553433
YCL054W-A	1.24595399436466	2.21551498856455	17.5970191828782	2.73015948908891e-05	0.00605626778553433
YMR069W	1.32175987653378	1.65230464032073	17.5441868167135	2.8070766097494e-05	0.00605626778553433
YCR048W	1.11868948464811	6.53424988877199	17.2898188692721	3.20901620999441e-05	0.00668471273261249
YGL063W	1.16039544465696	3.64962408468059	17.176790983202	3.40571960285652e-05	0.00685798404028542
YHR033W	1.11278238517141	4.98138790394836	16.7013223852048	4.37504915320053e-05	0.00852570062402722
YKL198C	1.10317338574188	5.62504774859759	16.6357815482729	4.52885222731145e-05	0.00854962384537139
YIL153W	1.10030535441477	5.44120632671262	16.4758228857075	4.92744272122505e-05	0.0090202065087638
YOR348C	1.0677956541374	9.04055057066087	15.9594967756026	6.47123079455363e-05	0.0114978544793819
YKL037W	1.43474011954731	0.439398734031842	15.7039167101268	7.40706315966803e-05	0.012784591013587
tD(GUC)N	1.60390349397557	-0.107235446858653	15.55573556278	8.01082489153744e-05	0.013434294630619
YCR045W-A	1.10080337600836	3.65837774585756	15.5051091750273	8.22825527781663e-05	0.013434294630619
YHR214W	1.18510905406833	2.17654113438207	15.3004369538277	9.16952985465513e-05	0.0145771394347294
RPR1	1.03018498608785	8.91285575410673	14.8704131071075	0.00011515505549339	0.0178372228265531
YBR241C	1.03926865516103	5.79168623695908	14.8065381403351	0.000119121791188832	0.0179903685142934
YCR061W	1.02993405048271	6.6449852995958	14.6970464577547	0.000126244089136155	0.0184302244790197
YHL028W	1.03087573510281	5.85967804144965	14.6690071395645	0.000128135975520415	0.0184302244790197
YDR476C	1.01787686721021	5.50520781807957	14.145652864384	0.000169187592117609	0.0226405616453753
YKR041W	1.17006172187952	1.59863148779054	14.0695991597276	0.000176168335549024	0.0226405616453753
YJR150C	1.43675519953619	0.017005187967391	14.0609389856583	0.000176981406949474	0.0226405616453753
ETS1-1	1.00104007502907	8.85265524081825	14.0583102381799	0.000177228957225638	0.0226405616453753
YPR156C	1.00342816906391	7.09757585412738	14.0458883297801	0.000178403459879249	0.0226405616453753
ETS1-2	1.00002170457049	8.85064772208152	14.030229338521	0.000179895209233242	0.0226405616453753
YMR276W	0.998877171499873	6.78497902804901	13.880836456373	0.0001947743646149	0.0240128966660941
YFR034C	1.03384056454826	3.66439029834923	13.7927284841848	0.000204124745949608	0.0246623518056316
