genes	logFC	logCPM	LR	PValue	FDR
YNL145W	-8.36614459997326	7.06153377313421	548.637876152984	2.49062342415234e-121	1.5237634108964e-117
YFL026W	-6.77562096250254	8.68828224691879	445.997801326367	5.35936472898239e-99	1.63942967059571e-95
YDL042C	-10.1660494947903	3.66839113410573	407.080022745756	1.58393006242958e-90	3.23016137398138e-87
YIL015W	-6.34548824753514	6.84875758829593	396.133046701101	3.82588474671758e-88	5.85169072010454e-85
YDR461W	-6.92967989175332	5.00480616000235	393.684088783405	1.3057384971866e-87	1.59770162515752e-84
RME2	-5.99428471901249	5.275090295865	343.831126112531	9.34400428529525e-77	9.52776970290605e-74
YGL032C	-6.29955446472744	4.06941960094953	326.861281232085	4.63889197861627e-73	4.05439158931062e-70
YJL157C	-5.48074726577095	5.77096862014486	314.130342002734	2.7509098421957e-70	2.10375830181916e-67
YDL227C	-5.67757821507865	4.85279420878749	313.559499610161	3.66290531281911e-70	2.48996163375859e-67
YKL209C	-4.98489385638305	7.75076687651764	286.183909565359	3.3733902533603e-64	2.06384015700583e-61
YOR212W	-4.56796162375852	5.62549171600715	241.750087281131	1.63348081329797e-54	9.0851232870518e-52
YHR005C	-4.23503586371678	4.71771036796257	208.35628551825	3.13678156074338e-47	1.59923579905233e-44
YGR044C	-3.93022060082526	4.55141012753793	184.473390950642	5.11401698489735e-42	2.40673507027708e-39
YJR086W	-5.77137182633677	1.40352034463525	179.433357893353	6.44380414552923e-41	2.81594241159627e-38
YPR122W	-3.7577234972891	5.59782747944088	178.653423933411	9.53758621519131e-41	3.89006349763603e-38
YCL074W	4.57170977749111	2.5484325136832	170.931521355872	4.63144069755156e-39	1.77094713672628e-36
YBL016W	-3.7964941579592	4.09050167447119	170.299785201939	6.36342220583316e-39	2.29008335619337e-36
YCL075W	5.51491433340659	1.67977471791583	167.770798002496	2.27020379508608e-38	7.71617045463148e-36
YDR365W-B	-3.472728187133	7.86274231973932	161.284913412208	5.92812064512406e-37	1.90885484772995e-34
YGL192W	3.9405658082525	3.20766270563622	159.184279020765	1.70559654634205e-36	5.21741983526033e-34
YDR536W	3.65118181400507	3.91774879455178	156.477719124569	6.65696685660929e-36	1.93939634422551e-33
YCL054W-A	-7.06565696620499	0.647720628935555	154.816628009156	1.53555838493317e-35	4.27024827228234e-33
YIL169C	3.33414729829359	6.43800145901621	147.969133211696	4.81812929331885e-34	1.28162239202281e-31
YDR261C-D	-3.29674222642662	6.50647945730403	146.228113313548	1.15737055861957e-33	2.95033044901438e-31
YOL104C	-3.38751085162238	4.29145229069862	143.881784275235	3.77083036426488e-33	9.22797606742901e-31
YPR158C-D	-3.21882374076057	9.21772392895584	142.412977713124	7.89918555056702e-33	1.85873912301419e-30
YJR027W	-3.21882094307995	8.76281478256747	142.280698622931	8.44316747015742e-33	1.91315920675641e-30
YCL019W	-3.20465072111533	6.71147673894364	139.71965829982	3.06562068459506e-32	6.69838119584021e-30
YGR027W-B	-3.16876914130706	6.99988912561089	137.431563566459	9.70303087416421e-32	2.01759442268141e-29
YLR256W-A	-3.16079075255143	7.71838123408119	137.392980881733	9.89340187650251e-32	2.01759442268141e-29
YJR087W	-4.47139890140999	1.33653656347699	137.081158225795	1.15756004766658e-31	2.28450076504004e-29
YLR227W-B	-3.14051176962203	7.87620750195355	136.011936480981	1.98334566656981e-31	3.79190899627315e-29
YNL146C-A	-4.29322420167941	1.39451882731579	134.832383956603	3.59252201398023e-31	6.66031808531244e-29
YLR035C-A	-3.11546569326697	5.13137686108319	129.494543991648	5.28615655883123e-30	9.51197230203807e-28
YPR137C-B	-3.0331699791958	8.0173058143279	128.123220635419	1.05486367991525e-29	1.84390171249185e-27
YOL103W-B	-3.0200590090038	6.26247030899314	125.48280443723	3.99032787103062e-29	6.78134053193482e-27
YHR214C-B	-3.01262749701144	6.35561212915345	125.186391112155	4.63318433914616e-29	7.66103291537736e-27
YDR103W	-3.03987128777848	5.37100597199375	125.008885864984	5.06672965111737e-29	8.15743473829896e-27
YML039W	-2.94295023143341	7.23739290106068	121.084842786324	3.66134071100233e-28	5.72412950424959e-26
YML045W	-2.94232923877837	7.23866756161829	121.041355878303	3.74248414792389e-28	5.72412950424959e-26
YOR142W-B	-2.95614262201182	6.02839690697273	120.541940267742	4.81382399680209e-28	7.18316468595981e-26
YDR316W-B	-2.96552656481426	5.67058580918629	120.417546142308	5.12533993345839e-28	7.46591183640439e-26
YER138C	-3.13266047368673	3.31271503873293	119.065925831727	1.01305985635463e-27	1.41026444991679e-25
YNL284C-B	-2.90817768014163	7.92862523734946	119.063602582611	1.01424707087837e-27	1.41026444991679e-25
YPR158W-B	-2.90904972735097	7.77061717010604	119.008358358177	1.04289129930039e-27	1.4178686598044e-25
YJR029W	-2.90825782265189	7.59295599557385	118.863723714542	1.12177526567394e-27	1.49196110334634e-25
YDR261W-B	-2.89958170172072	7.61993362595664	118.261573197938	1.51965904242011e-27	1.97814340883537e-25
YDR098C-B	-2.90617417405081	5.67109285685747	116.427298251178	3.83171133582521e-27	4.88383540678721e-25
YJL170C	-3.44760157778295	1.96868102785319	116.091487799716	4.53868418988544e-27	5.66687140279982e-25
YOR192C-B	-2.92052959429369	5.11271432902403	115.908430706526	4.9775692919706e-27	6.09055378565522e-25
