genes	logFC	logCPM	LR	PValue	FDR
YLR024C	-8.8658983796788	5.14810892371166	499.529096363655	1.20345406191556e-110	7.28571089083683e-107
YKR093W	3.03070376102318	5.52809227590628	133.290129523016	7.8119219244876e-31	2.3646687665424e-27
YIR028W	1.81516872263943	5.9370971219398	53.3452271845202	2.79790182637957e-13	5.64616588563397e-10
YMR323W	-1.74891837552938	2.38924741812422	40.3547690816054	2.11787827213184e-10	3.20540876487154e-07
YPR157W	1.56407888631595	4.1073280658648	38.0466422943333	6.90734786239504e-10	8.36341679178791e-07
YHR137W	-1.6291026758376	2.47569017781168	35.8256396190183	2.15789315008944e-09	2.17731418844024e-06
YKR075C	-1.41569414613237	2.64650247066049	28.154105284405	1.12029790038552e-07	9.18507611525067e-05
YER153C	1.45809342917384	2.30451731071247	27.9990455129636	1.21375303802453e-07	9.18507611525067e-05
YIR027C	1.30030316051075	4.94845577840366	27.643918765683	1.45829805549941e-07	9.80948491999271e-05
YBR067C	1.25674286248153	7.76532568823787	26.7926916245829	2.26492288167174e-07	0.000137118431256407
YDR380W	-1.46405069650472	1.75356205065751	26.3805209256926	2.80353588745176e-07	0.00015429642056939
YNL160W	-1.24349367914287	6.83295599665212	26.089751752947	3.25909267383296e-07	0.000164421225394873
YLR142W	1.2131612860847	6.56785964920347	24.8558173699255	6.17823182484415e-07	0.000287715503596973
YKL217W	-1.29834389994924	2.80575685813288	24.3792228815879	7.91174015929618e-07	0.000342126249459851
RDN5-6	-2.03021750080239	-0.215291526357884	24.1058716861483	9.11818436835205e-07	0.000368009921106689
YDR210C-D	-1.17685841246972	6.81840934100151	23.471708577861	1.26764216234684e-06	0.000479644103177984
YPR078C	-3.10260780564314	-1.2675110274197	22.7410715288282	1.8536336905582e-06	0.00066011166839055
YNL284C-B	-1.12466025782908	8.19826413726238	21.6334125941174	3.30051900699529e-06	0.00111007455935275
YDR042C	-1.20366357547322	2.88438115072616	21.2501029609183	4.0308871822533e-06	0.00128436794744008
YMR276W	1.11480137857992	6.91389720116846	21.1084176866103	4.34017401918282e-06	0.00131377067560664
YOR348C	1.10452426138002	9.11524165117686	20.9167941614058	4.79670743622561e-06	0.0013828222294719
YNR070W	1.18394756206683	2.96328981731729	20.7308833324835	5.28566106288485e-06	0.00145451782157749
YKR034W	1.10154122936342	6.06930543250364	20.4845693056009	6.01139304402297e-06	0.00158230319515283
YCL074W	-2.97855375120372	-1.34044222992795	20.1519551257626	7.15270986688128e-06	0.00178681323613088
YOR041C	-1.26263771323971	1.8620414922412	20.092473657567	7.37864732462372e-06	0.00178681323613088
snR80	1.0938356523756	5.27335979039213	19.8892034008153	8.20624635280986e-06	0.0019107929007658
YER018C	1.17163332351776	2.4337313292989	18.9713338860828	1.32697176226008e-05	0.00297536557360093
YDR342C	-1.06066713453935	5.16699622624093	18.6619442959052	1.56066497659802e-05	0.00337438063154443
YJL079C	1.03669716887567	7.9360050551269	18.4210854253072	1.77087543326175e-05	0.00369685512860919
YPR192W	1.13108935103268	2.72344363931615	18.1171050353088	2.07726991611947e-05	0.00419193069072909
YIL154C	1.08897657887431	3.29136516639252	17.9383378030234	2.28178226264153e-05	0.00445609994130058
YNL054W-B	-1.00440206462119	8.83416898540589	17.3660081842625	3.08290550941481e-05	0.0057224019971488
SCR1	1.00242555245564	15.0407124684267	17.3437354390117	3.11924786762323e-05	0.0057224019971488
Q0020	1.0077830081192	7.13729389433849	17.2827939922822	3.22090189426742e-05	0.0057351000199691
YGR146C	-1.03797478008674	3.87750944522286	17.0404129694278	3.65926532299062e-05	0.00632948350439578
YOR083W	1.10115649904578	2.4793398540172	16.9168976913464	3.90523909567977e-05	0.00655732801232601
YBR012C	-1.08219645309259	2.67238076165203	16.8677782362817	4.00761705411401e-05	0.00655732801232601
YOR100C	-1.07597436343658	2.36163981107108	16.0403168614048	6.20079223485579e-05	0.0098788411025834
YBR186W	-1.52040338618133	-0.108592414732724	15.600705114083	7.82254125850658e-05	0.0121429909689741
YLR460C	1.05724041442237	2.30791447140397	15.5287484420848	8.1259999852697e-05	0.0122987009777057
YDL037C	0.956196900786882	5.4245324155103	15.3954286335687	8.71989901871618e-05	0.012875675282758
YDR476C	0.956140397240515	5.51525522257416	15.3245954098359	9.05301311115494e-05	0.0130492717559362
YPL113C	1.04190637066315	2.32112272351669	15.1042283094679	0.00010173516224357	0.0143233644702924
YJR152W	0.931699694846335	9.20013116275569	14.9926677265911	0.000107929723429759	0.014850148764631
YMR069W	1.11406807507187	1.58412296525039	14.9209614656863	0.000112110368013499	0.0150825815100827
YDL039C	0.929924278659891	6.36187490471558	14.755981721216	0.00012235872723276	0.0158016916702922
YPL014W	0.938272586738871	5.38399580235141	14.7511015342094	0.000122675835563881	0.0158016916702922
YHL016C	0.929677530063123	5.84285317114545	14.64446217553	0.000129815504478595	0.0163729805023628
YFR034C	0.962843136502294	3.67366980191614	14.5764187737935	0.000134588287565051	0.0165756402570095
YKL096W	-0.920375665160991	7.05036098895715	14.5233455955106	0.000138433349377546	0.0165756402570095
