chrI	87388	87500	+	6998
chrI	139188	139218	+	7027
chrI	142254	142619	+	7030
chrI	151007	151096	-	7033
chrI	181179	181210	+	7049
chrII	4117	4215	-	3897
chrII	36435	36452	+	3913
chrII	47059	47146	-	3923
chrII	60194	60697	-	3928
chrII	110421	110505	-	3960
chrII	110880	110948	+	3961
chrII	125155	125270	+	3970
chrII	142750	142846	-	3980
chrII	168425	168808	+	3996
chrII	170677	170804	+	3997
chrII	186353	186427	-	4005
chrII	332876	333386	+	4082
chrII	366503	366584	-	4101
chrII	393181	393510	+	4118
chrII	407028	407122	-	4124
chrII	414754	415259	-	4127
chrII	426517	426873	-	4135
chrII	462210	462289	+	4158
chrII	462430	462499	+	4158
chrII	479346	479434	+	4166
chrII	592417	592768	-	4234
chrII	602104	602216	+	4240
chrII	604515	604927	+	4243
chrII	606281	606668	+	4245
chrII	653369	653452	+	4276
chrII	662582	663002	-	4280
chrII	679943	680039	-	4293
chrII	726918	727011	-	4322
chrIII	90897	90928	+	6647
chrIII	101634	101700	-	6652
chrIII	107034	107110	+	6658
chrIII	107192	107287	+	6658
chrIII	111558	111633	-	6662
chrIII	173116	173198	-	6706
chrIII	177907	178213	-	6709
chrIII	227979	227997	+	6741
chrIII	293940	293993	+	6777
chrIII	294240	294291	+	6777
chrIV	65307	65377	+	32
chrIV	117667	118157	+	61
chrIV	217603	218007	+	120
chrIV	230020	230320	+	128
chrIV	239399	239509	-	133
chrIV	254975	255044	-	143
chrIV	267726	267806	+	151
chrIV	307334	307765	-	178
chrIV	308428	308792	+	179
chrIV	314045	314336	-	182
chrIV	322283	322703	+	186
chrIV	337525	337634	+	198
chrIV	359614	359636	+	208
chrIV	399362	399484	+	234
chrIV	431387	431472	-	254
chrIV	458018	458097	-	274
chrIV	491560	491898	+	296
chrIV	569634	569723	-	339
chrIV	579479	580017	+	344
chrIV	629906	630173	+	374
chrIV	715248	715358	-	417
chrIV	733703	733775	-	426
chrIV	884398	884457	+	509
chrIV	946351	946364	+	541
chrIV	1073313	1073401	-	613
chrIV	1095406	1095424	-	626
chrIV	1103810	1103892	+	630
chrIV	1212878	1212978	+	689
chrIV	1236843	1237608	+	706
chrIV	1238631	1238824	-	707
chrIV	1266770	1266861	-	724
chrIV	1319618	1319697	-	753
chrIV	1319721	1319816	-	753
chrIV	1355237	1355550	-	777
chrIV	1359970	1360404	+	780
chrIV	1401801	1402184	+	803
chrIV	1450458	1450846	-	832
chrIV	1461759	1461791	-	839
chrIV	1507059	1507314	-	874
chrV	4323	4601	-	5636
chrV	131777	131899	+	5720
chrV	148195	148282	+	5733
chrV	158995	159087	-	5738
chrV	166772	166874	-	5744
chrV	184170	184677	-	5754
chrV	239624	239711	-	5790
chrV	269752	270148	-	5807
chrV	306326	306791	+	5830
chrV	307747	307848	+	5831
chrV	307957	308067	+	5831
chrV	348202	348276	-	5863
chrV	396811	397281	+	5887
chrV	432672	433196	+	5906
chrV	548553	548644	+	5973
chrVI	54378	54686	-	6819
chrVI	63860	63973	-	6824
chrVI	64600	64920	-	6825
chrVI	75840	76091	+	6829
chrVI	101412	101442	+	6844
chrVI	157952	157970	-	6877
chrVI	167476	167489	+	6886
chrVI	191558	191576	-	6897
chrVI	203293	203386	-	6903
chrVI	210655	210668	-	6909
chrVI	221268	221414	-	6913
chrVI	242010	242081	+	6933
chrVII	31427	31578	-	1535
chrVII	62132	62189	+	1555
chrVII	72989	73137	-	1561
chrVII	115525	115547	+	1588
chrVII	157200	157282	-	1612
chrVII	167355	167994	+	1617
chrVII	205559	205590	+	1638
chrVII	249887	250086	+	1660
chrVII	287386	287419	-	1680
chrVII	311016	311526	+	1696
chrVII	346809	346893	-	1716
chrVII	364965	365432	-	1727
chrVII	365527	365985	-	1727
chrVII	423130	423161	+	1771
chrVII	435680	435749	+	1778
chrVII	436313	436374	+	1778
chrVII	439094	439323	+	1781
chrVII	440752	440770	-	1783
chrVII	497366	497458	-	1815
chrVII	497938	497999	-	1815
chrVII	543639	543721	+	1847
chrVII	555831	556307	+	1855
chrVII	700989	701011	-	1936
chrVII	727039	727357	+	1951
chrVII	857422	857453	-	2033
chrVII	859261	859473	-	2036
chrVII	878746	878779	-	2044
chrVII	920665	921119	+	2070
chrVII	946328	946420	+	2084
chrVII	1084883	1085030	+	2158
chrVIII	1898	2670	-	5990
chrVIII	104406	104803	+	6052
chrVIII	107832	107894	+	6054
chrVIII	126552	127112	+	6066
chrVIII	129529	129647	+	6068
chrVIII	138241	138408	-	6074
chrVIII	148117	148666	-	6080
chrVIII	187515	187676	-	6104
chrVIII	189750	189850	-	6106
chrVIII	237884	237902	-	6147
chrVIII	251156	251248	+	6156
chrVIII	255638	255750	-	6157
chrVIII	262355	262440	-	6160
chrVIII	298361	298484	-	6179
chrVIII	315772	315858	-	6183
chrVIII	354865	354955	+	6205
chrVIII	358514	358532	-	6207
chrVIII	382307	382747	-	6229
chrVIII	388929	388959	-	6234
chrVIII	498720	498786	-	6299
chrVIII	505248	505516	-	6303
chrVIII	558616	558714	+	6326
chrIX	4599	4986	-	6330
chrIX	47699	47760	+	6352
chrIX	68716	69149	+	6361
chrIX	99096	99385	-	6379
chrIX	166435	166519	+	6407
chrIX	225810	225899	-	6446
chrIX	231958	232366	-	6451
chrIX	256555	257026	-	6471
chrIX	316772	317171	+	6512
chrIX	335936	335936	-	6524
chrIX	348364	348494	-	6531
chrX	4582	4969	-	4831
chrX	50269	50411	-	4853
chrX	73797	74204	+	4869
chrX	75939	76324	+	4871
chrX	91095	91411	+	4883
chrX	156790	157249	-	4929
chrX	354283	354296	+	5033
chrX	387349	387435	-	5052
chrX	396494	396570	-	5061
chrX	415967	416000	-	5075
chrX	435228	435343	+	5087
chrX	469184	469263	-	5110
chrX	542992	543005	-	5151
chrX	580348	581052	+	5174
chrX	608307	608581	+	5190
chrX	617957	617975	+	5197
chrX	637810	637858	+	5210
chrX	702799	703054	-	5246
chrXI	82999	83074	+	5301
chrXI	109578	109883	+	5313
chrXI	155272	155654	+	5338
chrXI	158616	158966	+	5339
chrXI	283096	283421	+	5424
chrXI	302954	302987	+	5435
chrXI	430456	430596	-	5511
chrXI	432035	432432	+	5513
chrXI	437838	437905	+	5517
chrXI	447707	447810	-	5522
chrXI	449952	450020	-	5523
chrXI	458595	458626	+	5528
chrXI	551681	552002	+	5580
chrXI	579002	579024	+	5598
chrXI	618375	618742	-	5620
chrXI	625902	625976	+	5622
chrXII	3916	4014	-	2161
chrXII	9451	9549	-	2164
chrXII	40222	40400	-	2181
chrXII	92584	92614	+	2206
chrXII	242322	242680	+	2286
chrXII	250861	250947	-	2292
chrXII	263206	263594	+	2299
chrXII	286468	286556	-	2316
chrXII	327259	327399	-	2331
chrXII	398533	398626	+	2371
chrXII	455182	455413	-	2403
chrXII	455572	455932	-	2403
chrXII	464319	464550	-	2417
chrXII	464709	465069	-	2417
chrXII	522670	523028	+	2470
chrXII	548678	548763	-	2484
chrXII	550459	550574	-	2487
chrXII	564455	564513	-	2496
chrXII	592563	592581	-	2514
chrXII	605336	605395	-	2520
chrXII	628421	628453	+	2537
chrXII	694383	694472	+	2571
chrXII	712726	713155	-	2586
chrXII	732128	732146	+	2602
chrXII	744154	744287	+	2608
chrXII	766074	766129	-	2620
chrXII	766182	766249	-	2620
chrXII	784390	784409	+	2632
chrXII	786616	786712	+	2634
chrXII	819331	819777	+	2656
chrXII	856575	857057	+	2683
chrXII	875413	875435	+	2695
chrXII	931350	931698	-	2726
chrXII	987142	987212	+	2752
chrXII	1024573	1024654	+	2773
chrXII	1028869	1029252	+	2776
chrXII	1067085	1067363	+	2793
chrXIII	3792	3890	-	3345
chrXIII	23361	23658	-	3356
chrXIII	82291	82373	+	3392
chrXIII	99260	99375	-	3402
chrXIII	123743	124157	-	3415
chrXIII	140091	140183	-	3422
chrXIII	163309	163716	-	3435
chrXIII	168834	168847	+	3440
chrXIII	196104	196134	-	3456
chrXIII	206098	206203	+	3461
chrXIII	211445	211570	+	3464
chrXIII	223381	223781	-	3472
chrXIII	225240	225338	-	3473
chrXIII	225892	226289	+	3474
chrXIII	236592	236953	+	3481
chrXIII	337818	337903	+	3549
chrXIII	352317	352334	+	3558
chrXIII	379339	379372	-	3572
chrXIII	424998	425153	+	3603
chrXIII	499879	500151	-	3644
chrXIII	504933	504964	+	3648
chrXIII	517564	517885	+	3657
chrXIII	537449	537564	+	3665
chrXIII	550802	551203	-	3675
chrXIII	551952	552495	+	3677
chrXIII	651161	651623	+	3739
chrXIII	652776	652847	-	3741
chrXIII	666934	667017	-	3749
chrXIII	721199	721345	-	3774
chrXIII	732466	732875	+	3779
